Daily_UV,Average_registration_rate,Average_search_volume,Visit_depth,Average_session_duration,Order_conversion_rate,Total_advertising_duration,Material_type,Ad_type,Cooperation_method,Ad_size,Ad_selling_point,clusters
3.69,0.0071,0.0214,2.3071,419.77,0.0258,20,jpg,banner,roi,140*40,Promotion and salary increase,4
178.7,0.004,0.0324,2.0489,157.94,0.003,19,jpg,banner,cpc,140*40,Free,4
91.77,0.0022,0.053,1.8771,357.93,0.0026,4,jpg,banner,cpc,140*40,Free,4
1.09,0.0074,0.3382,4.2426,364.07,0.0153,10,jpg,banner,cpc,140*40,Free,4
3.37,0.0028,0.174,2.1934,313.34,0.0007,30,jpg,banner,cpc,140*40,Free,4
0.95,0.0141,0.4155,4.2113,415.56,0.0276,2,jpg,banner,cpc,140*40,Free,4
3.3,0.0028,0.0852,1.7358,155.19,0.0007,4,jpg,banner,cpc,140*40,Free,4
11.91,0.0032,0.0539,2.3751,243.29,0.0032,4,jpg,banner,cpc,140*40,Free,4
49.21,0.0038,0.0448,2.3813,257.53,0.003,6,jpg,banner,cpc,140*40,Free,4
46.31,0.0044,0.0559,2.2621,231.91,0.0029,16,jpg,banner,cpc,140*40,Free,4
125.55,0.0021,0.013,2.0766,238.87,0.0018,19,jpg,banner,cpc,140*40,Free,4
115.38,0.002,0.0184,2.0319,205.02,0.0018,8,jpg,banner,cpc,140*40,Free,4
12.71,0.0008,0.0188,2.0617,228.4,0.0024,21,jpg,banner,cpc,140*40,Free,4
0.74,0.0,0.0125,1.425,152.1,0.0,14,jpg,banner,cpc,140*40,Free,4
408.42,0.0015,0.0117,1.9114,172.92,0.0025,9,jpg,banner,cpc,140*40,Free,4
13.52,0.0021,0.0141,1.8211,176.53,0.0025,15,jpg,banner,cpc,140*40,Free,4
1.53,0.0128,0.0128,1.6603,222.31,0.0047,12,jpg,banner,cpc,140*40,Free,4
2.32,0.0,0.0042,1.9789,267.97,0.0,30,jpg,banner,cpc,140*40,Free,4
20.6,0.0009,0.014,1.7237,245.72,0.0016,11,jpg,banner,cpc,140*40,Free,4
31.84,0.0015,0.0132,1.6553,227.03,0.0012,22,jpg,banner,cpc,140*40,Free,4
30.74,0.0031,0.0103,1.6126,273.09,0.0027,14,jpg,banner,cpc,140*40,Free,4
87.57,0.0014,0.0094,1.7953,170.74,0.0026,13,jpg,banner,cpc,140*40,Free,4
155.81,0.0016,0.0122,1.8087,165.21,0.0026,9,jpg,banner,cpc,140*40,Free,4
1.42,0.0,0.0133,1.5467,195.21,0.0017,19,jpg,banner,cpc,140*40,Free,4
471.3,0.0021,0.0115,1.7931,172.97,0.0026,30,jpg,banner,cpc,140*40,Free,4
397.16,0.002,0.0105,2.3973,244.97,0.0026,23,jpg,banner,cpc,140*40,Free,4
0.73,0.0,0.012,2.0843,266.12,0.0,18,jpg,banner,cpc,140*40,Free,4
56.99,0.0029,0.0124,1.8223,158.79,0.0024,5,jpg,banner,cpc,140*40,Free,4
2699.42,0.006,0.0799,3.8914,362.45,0.0089,18,jpg,banner,cpc,140*40,Free,4
1.26,0.0,0.0152,1.8485,103.7,0.0,12,jpg,banner,cpc,140*40,Free,4
0.97,0.0096,0.0288,2.1058,263.03,0.0025,25,jpg,banner,cpc,140*40,Free,4
51.47,0.0036,0.009,1.4805,177.47,0.0041,29,jpg,banner,cpc,140*40,Free,4
396.72,0.0027,0.0091,1.5081,154.08,0.0031,27,jpg,banner,cpc,140*40,Free,4
120.11,0.0042,0.0095,1.4805,161.68,0.0034,27,jpg,banner,cpc,140*40,Free,4
162.44,0.0012,0.0094,1.6565,111.44,0.0013,23,jpg,banner,cpc,140*40,Free,4
18.11,0.0016,0.0065,1.8496,126.2,0.0024,30,jpg,banner,cpc,140*40,Free,4
3282.76,0.0024,0.0082,2.3239,247.37,0.0029,21,jpg,banner,cpc,140*40,Free,4
3.02,0.0,0.0062,2.3292,319.37,0.0063,18,jpg,banner,cpc,140*40,Free,4
2687.24,0.0037,0.009,2.4957,244.23,0.0049,28,jpg,banner,cpc,140*40,Free,4
148.06,0.0063,0.0226,3.4601,346.18,0.0115,7,jpg,banner,cpc,140*40,Free,4
975.09,0.0044,0.0109,2.4405,221.94,0.0065,26,jpg,banner,cpc,140*40,Free,4
1.78,0.0053,0.0107,2.2299,258.69,0.004,23,jpg,banner,cpc,140*40,Free,4
1.02,0.0,0.019,1.9143,383.9,0.0,5,jpg,banner,cpc,140*40,Free,4
0.72,0.0,0.0,1.8182,452.26,0.0,13,jpg,banner,cpc,140*40,Free,4
1.41,0.0067,0.0201,1.7517,353.21,0.0,12,jpg,banner,cpc,140*40,Free,4
408.62,0.0033,0.0183,2.9112,300.89,0.0056,30,jpg,banner,cpc,140*40,Free,4
26.0,0.0041,0.0075,1.5792,224.96,0.0017,2,jpg,banner,cpc,140*40,Free,4
5.37,0.0018,0.018,1.9928,181.93,0.0049,15,jpg,banner,cpc,140*40,Free,4
131.25,0.004,0.0082,2.0127,235.72,0.0072,6,jpg,banner,cpc,140*40,Free,4
1021.84,0.0012,0.0085,2.0031,191.94,0.0014,13,jpg,banner,cpc,308*388,Free,8
1.45,0.0,0.0,1.8649,183.42,0.0016,14,jpg,banner,cpc,308*388,Free,8
397.25,0.004,0.0174,2.7874,292.63,0.0029,8,jpg,banner,cpc,308*388,Free,8
158.33,0.0035,0.0138,2.5696,296.33,0.0023,1,jpg,banner,cpc,308*388,Free,8
1.34,0.0,0.0,1.3037,233.04,0.0,24,jpg,banner,cpc,308*388,Free,8
3.89,0.0024,0.0048,2.2153,448.55,0.0043,19,jpg,banner,cpc,308*388,Free,8
4.22,0.0,0.0184,1.8782,218.95,0.0011,7,jpg,banner,cpc,308*388,Free,8
1.13,0.0,0.0168,1.8487,328.79,0.0,25,jpg,banner,cpc,308*388,Free,8
62.11,0.0002,0.0107,1.8414,187.24,0.0015,12,jpg,banner,cpc,308*388,Free,8
434.67,0.0012,0.0119,2.6377,227.92,0.0017,12,jpg,banner,cpc,308*388,Free,8
5.12,0.0076,0.017,2.2231,245.51,0.0005,19,jpg,banner,cpc,308*388,Free,8
1.23,0.0391,0.0,2.1172,451.57,0.0039,14,jpg,banner,cpc,308*388,Free,8
0.85,0.0,0.0115,2.2414,321.12,0.0168,27,jpg,banner,cpc,308*388,Free,8
351.81,0.0028,0.0102,2.5722,258.83,0.0044,11,jpg,banner,cpc,308*388,Free,8
28.28,0.0014,0.0038,2.52,245.31,0.0017,6,jpg,banner,cpc,308*388,Free,8
216.24,0.0019,0.0106,2.3688,205.55,0.0012,27,jpg,banner,cpc,308*388,Free,8
37.56,0.0015,0.0159,2.265,238.15,0.0058,9,jpg,banner,cpc,308*388,Free,8
166.28,0.0034,0.0057,2.6545,246.89,0.0029,15,jpg,banner,cpc,308*388,Free,8
0.75,0.0,0.0,1.4026,137.35,0.0,17,jpg,banner,cpc,308*388,Free,8
1.97,0.005,0.0,1.7525,196.86,0.0012,24,jpg,banner,cpc,308*388,Free,8
4.44,0.0,0.0,1.3474,507.23,0.0005,23,jpg,banner,cpc,308*388,Free,8
31.71,0.0003,0.0006,1.0971,263.7,0.0001,15,jpg,banner,cpc,308*388,Free,8
127.05,0.0006,0.0029,1.2228,171.44,0.0003,5,jpg,banner,cpc,308*388,Free,8
8.99,0.0,0.0033,1.488,170.9,0.0005,4,jpg,banner,cpc,308*388,Free,8
7.75,0.0,0.0013,1.0772,403.79,0.0,5,jpg,banner,cpc,308*388,Free,8
239.05,0.0007,0.0017,1.1348,306.17,0.0004,25,jpg,banner,cpc,308*388,Free,8
230.14,0.0,0.0018,1.0898,272.55,0.0001,17,jpg,banner,cpc,308*388,Free,8
8.28,0.0,0.0036,1.0597,232.46,0.0006,4,jpg,banner,cpc,308*388,Free,8
16.76,0.0006,0.0,1.1097,348.37,0.0,17,jpg,banner,cpc,308*388,Free,8
2.42,0.0,0.0041,1.0531,178.38,0.0,5,jpg,banner,cpc,308*388,Free,8
7.34,0.0,0.0067,1.1566,333.67,0.0003,18,jpg,banner,cpc,308*388,Free,8
1.57,0.0,0.0,1.6164,193.02,0.0,27,jpg,banner,cpc,308*388,Free,8
1.38,0.0,0.0,2.0719,197.82,0.0,2,jpg,banner,cpc,308*388,Free,8
54.69,0.0027,0.0014,2.2761,216.27,0.0015,26,jpg,banner,cpc,308*388,Free,8
1.65,0.0172,0.0057,2.4023,252.81,0.0029,4,jpg,banner,cpc,308*388,Free,8
23.52,0.005,0.0021,2.5657,188.77,0.0014,13,jpg,banner,cpc,308*388,Free,8
64.87,0.0015,0.0134,2.2853,248.46,0.0015,24,jpg,banner,cpc,308*388,Free,8
5.76,0.0,0.0085,1.6576,101.15,0.0025,29,jpg,banner,cpc,308*388,Free,8
15.28,0.0049,0.0339,2.5675,291.15,0.0067,14,jpg,banner,cpc,308*388,Free,8
50.49,0.0041,0.0285,2.7619,207.25,0.0033,26,jpg,banner,cpc,308*388,Free,8
0.96,0.01,0.03,2.32,183.64,0.0,19,jpg,banner,cpc,308*388,Free,8
0.72,0.0,0.0676,1.8378,256.22,0.0066,22,jpg,banner,cpc,308*388,Free,8
48.73,0.0016,0.0116,1.8536,155.87,0.0024,16,jpg,banner,cpc,308*388,Free,8
207.03,0.0019,0.01,1.9715,153.84,0.0024,4,jpg,banner,cpc,308*388,Free,8
1.1,0.0,0.0179,1.7143,237.55,0.0,9,jpg,banner,cpc,308*388,Free,8
1.89,0.0,0.0206,1.9845,199.78,0.0025,4,jpg,banner,cpc,308*388,Free,8
1.94,0.0,0.0,1.3969,103.57,0.0,19,jpg,banner,cpc,308*388,Free,8
0.75,0.0,0.0132,1.8158,69.0,0.0,22,jpg,banner,cpc,308*388,Free,8
35.67,0.0019,0.0067,2.181,240.52,0.0027,1,jpg,banner,cpc,308*388,Free,8
