chinese,english
我 对 汤姆 说 我 很 好,I told Tom I was OK
我们 中 的 一个 得 走,One of us has to go
我 可以 尝试 着 做 吗,Could I try to do it
我 有 一輛 新 的 紅色 汽車,I have a new red car
我 住 在 一个 大城市 里,I live in a big city
我 看 見 了 很多 大巴 車,I saw a lot of buses
我 被 蜜蜂 蛰 了 一下,I was stung by a bee
这 对 我 来说 全是 新 的,All this is new to me
你 知道 他 是 誰 嗎,Do you know who he is
他 给 了 它 一个 新 名字,He gave it a new name
我 厌倦 了 我 的 工作,I am tired of my work
我 可以 在 一週 內 做,I can do it in a week
我 的 感冒 传染 了 他,I gave my cold to him
我 從 出租 車 上下 來,I got out of the taxi
我 听到 一辆车 停 了 下来,I heard a car pull up
我 告诉 了 汤姆 要 做 什么,I told Tom what to do
我 想 和 你 一起 去,I want to go with you
我 想 和 你 一起 走,I want to go with you
我 想 跟 他 說 話,I want to talk to him
我会 把 它 看作 一个 征兆,I'd take it as a sign
我 现在 已经 习惯 它 了,I'm used to it by now
她 使 他 長 大 成人,She made a man of him
告诉 我 他 怎么弄 到 的,Tell me how he got it
汤姆 是 我 要 找 的 人,Tom is the one I want
你 把 我 当 什么 啦,Who do you think I am
所有 你 能 做 的 就是 等待,All you can do is wait
你 和 我 都 是 男人,Both you and I are men
你 看到 他 出去 了 嗎,Did you see him go out
他 是 个 能干 的 男人,He is a man of ability
他 跑 得 跟 你 一樣 快,He runs as fast as you
他 送 了 一張 卡片 給瑪麗,He sent a card to Mary
我 向 她 提出 約會 的 請求,I asked her for a date
我 匆忙 地 吃 了 午飯,I ate lunch in a hurry
我 给 她 买 了 辆 新车,I bought her a new car
我敢 说 他 是 对 的,I dare say he is right
我 不 知道 他 是 谁,I don't know who he is
我 感觉 好像 死 了 一样,I felt like I was dead
我 在 一條 河 的 附近 長 大,I grew up near a river
我 打 了 他 的 肚子,I hit him in the belly
我 希望 能 早点 看到 汤姆,I hope to see Tom soon
我 知道 我 欠 你 錢,I know I owe you money
我 知道 你 多 大 了,I know how old you are
我 知道 我們 要 怎麼 幫忙,I know how we can help
我 知道 你們 都 是 誰,I know who you all are
我 把 它 留在 桌上 了,I left it on the table
我 在 俱樂部 見 到 他,I meet him at the club
我 把 它 放在 了 抽屜裡,I put it in the drawer
我 看见 一个 穿 黑衣服 的 女人,I saw a woman in black
我 觉得 我 把 钥匙 丢 了,I think I lost my keys
我 認為 我 要 坐 巴士 去,I think I'll go by bus
我 觉得 汤姆 对 我们 撒谎 了,I think Tom lied to us
我 可以 把 它 放在 这儿 吗,May I put it down here
现在 是 行动 的 时候 了,Now is the time to act
那 对 我 来说 意义 重大,That means a lot to me
這個 男孩 有 一 張紅潤 的 臉,The boy had a red face
這對 我 來 說 是 舊聞 了,This is old news to me
汤姆 是 个 很 好 的 人,Tom is a real good man
汤姆 是 个 很 好 的 人,Tom is a very good man
汤姆 说 他 有 个 计划,Tom says he has a plan
我們 乘 公共 汽車 去 上學,We go to school by bus
你 有 能力 去 做 这个 吗,Were you able to do it
我 在 哪裡 可以 搭到 計程車,Where can I get a taxi
你 可以 使用 我 的 新車,You may use my new car
你 是 來 見 湯姆 的 嗎,Are you here to see Tom
问 他 下 一步 该 做 什么,Ask him what to do next
我能 在 這裡 吃 午飯 嗎,Can I eat my lunch here
我 是不是 能 收回 我 的 钱,Can I get my money back
請 你 幫 我 一個 忙 好 嗎,Could you do me a favor
你 知道 我 的 意思 嗎,Do you know what I mean
你 想 死 在 這裡 嗎,Do you want to die here
不要 对 我 和 汤姆 撒谎,Don't lie to Tom and me
不要 把 它 放在 我 的 桌子 上,Don't put it on my desk
请画 一条 从 A 到 B 的 线,Draw a line from A to B
他 把 整个 苹果 都 吃 了,He ate all of the apple
他 幫 我 找到 了 一個 好 位子,He found me a good seat
他 做 了 一把 椅子 給他 兒子,He made his son a chair
你 是 怎麼 去 上學 的,How do you go to school
我 为 我 父亲 而 自豪,I am proud of my father
我現 在 正在 讀 一本 書,I am reading a book now
我 不能 让 你 进来 这里,I can't let you in here
我 對 他 期望 很 高,I expect a lot from him
我 给 了 汤姆 其中 一個,I gave Tom one of those
我 收到 她 的 來 信,I got a letter from her
我 在 树林 里 迷路 了,I got lost in the woods
我 和 往常 一样 起得 很早,I got up early as usual
我 和 平常 一样 起得 早,I got up early as usual
